{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{2.997602166487923*^-12 + 0.*I, 0.9999833334014052 + 0.*I, 0.9999833333983966 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 0. + 0.*I, 2.997602166487923*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I}
{5.617728504603293*^-12 + 0.*I, 0.9999833333861842 + 0.*I, 0.9999833333804055 + 0.*I, 5.617728504603293*^-12 + 0.*I, 5.617728504603293*^-12 + 0.*I, 5.617728504603293*^-12 + 0.*I, 5.617728504603293*^-12 + 0.*I, 5.617728504603293*^-12 + 0.*I, 5.617728504603293*^-12 + 0.*I, 5.617728504603293*^-12 + 0.*I, 5.617728504603293*^-12 + 0.*I, 5.617728504603293*^-12 + 0.*I, 0. + 0.*I, 5.617728504603293*^-12 + 0.*I, 5.617728504603293*^-12 + 0.*I}
{8.615330671091216*^-12 + 0.*I, 0.9999833333706134 + 0.*I, 0.9999833333622034 + 0.*I, 8.615330671091216*^-12 + 0.*I, 8.615330671091216*^-12 + 0.*I, 8.615330671091216*^-12 + 0.*I, 8.615330671091216*^-12 + 0.*I, 8.615330671091216*^-12 + 0.*I, 8.615330671091216*^-12 + 0.*I, 8.615330671091216*^-12 + 0.*I, 8.615330671091216*^-12 + 0.*I, 8.615330671091216*^-12 + 0.*I, 0. + 0.*I, 8.615330671091216*^-12 + 0.*I, 8.615330671091216*^-12 + 0.*I}
{1.1390888232654106*^-11 + 0.*I, 0.9999833333554031 + 0.*I, 0.9999833333439789 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 1.1390888232654106*^-11 + 0.*I, 0. + 0.*I, 1.1390888232654106*^-11 + 0.*I, 1.1390888232654106*^-11 + 0.*I}
{1.3788969965844446*^-11 + 0.*I, 0.99998333333981 + 0.*I, 0.9999833333259879 + 0.*I, 1.3788969965844446*^-11 + 0.*I, 1.3788969965844446*^-11 + 0.*I, 1.3788969965844446*^-11 + 0.*I, 1.3788969965844446*^-11 + 0.*I, 1.3788969965844446*^-11 + 0.*I, 1.3788969965844446*^-11 + 0.*I, 1.3788969965844446*^-11 + 0.*I, 1.3788969965844446*^-11 + 0.*I, 1.3788969965844446*^-11 + 0.*I, 0. + 0.*I, 1.3788969965844446*^-11 + 0.*I, 1.3788969965844446*^-11 + 0.*I}
{1.6608936448392342*^-11 + 0.*I, 0.999983333324389 + 0.*I, 0.9999833333077857 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 1.6608936448392342*^-11 + 0.*I, 0. + 0.*I, 1.6608936448392342*^-11 + 0.*I, 1.6608936448392342*^-11 + 0.*I}
{1.9806378759312793*^-11 + 0.*I, 0.9999833333091958 + 0.*I, 0.9999833332893948 + 0.*I, 1.9806378759312793*^-11 + 0.*I, 1.9806378759312793*^-11 + 0.*I, 1.9806378759312793*^-11 + 0.*I, 1.9806378759312793*^-11 + 0.*I, 1.9806378759312793*^-11 + 0.*I, 1.9806378759312793*^-11 + 0.*I, 1.9806378759312793*^-11 + 0.*I, 1.9806378759312793*^-11 + 0.*I, 1.9806378759312793*^-11 + 0.*I, 0. + 0.*I, 1.9806378759312793*^-11 + 0.*I, 1.9806378759312793*^-11 + 0.*I}
{2.260414078136819*^-11 + 0.*I, 0.999983333293786 + 0.*I, 0.9999833332711928 + 0.*I, 2.260414078136819*^-11 + 0.*I, 2.260414078136819*^-11 + 0.*I, 2.260414078136819*^-11 + 0.*I, 2.260414078136819*^-11 + 0.*I, 2.260414078136819*^-11 + 0.*I, 2.260414078136819*^-11 + 0.*I, 2.260414078136819*^-11 + 0.*I, 2.260414078136819*^-11 + 0.*I, 2.260414078136819*^-11 + 0.*I, 0. + 0.*I, 2.260414078136819*^-11 + 0.*I, 2.260414078136819*^-11 + 0.*I}
{2.5401902803423585*^-11 + 0.*I, 0.9999833332786034 + 0.*I, 0.9999833332530017 + 0.*I, 2.5401902803423585*^-11 + 0.*I, 2.5401902803423585*^-11 + 0.*I, 2.5401902803423585*^-11 + 0.*I, 2.5401902803423585*^-11 + 0.*I, 2.5401902803423585*^-11 + 0.*I, 2.5401902803423585*^-11 + 0.*I, 2.5401902803423585*^-11 + 0.*I, 2.5401902803423585*^-11 + 0.*I, 2.5401902803423585*^-11 + 0.*I, 0. + 0.*I, 2.5401902803423585*^-11 + 0.*I, 2.5401902803423585*^-11 + 0.*I}
{2.799982468104645*^-11 + 0.*I, 0.9999833332630104 + 0.*I, 0.999983333234994 + 0.*I, 2.799982468104645*^-11 + 0.*I, 2.799982468104645*^-11 + 0.*I, 2.799982468104645*^-11 + 0.*I, 2.799982468104645*^-11 + 0.*I, 2.799982468104645*^-11 + 0.*I, 2.799982468104645*^-11 + 0.*I, 2.799982468104645*^-11 + 0.*I, 2.799982468104645*^-11 + 0.*I, 2.799982468104645*^-11 + 0.*I, 0. + 0.*I, 2.799982468104645*^-11 + 0.*I, 2.799982468104645*^-11 + 0.*I}
