{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.00009995586860434004 + 0.*I, 0.9996853910746006 + 0.*I, 0.9996853652596062 + 0.*I, 0.00009997918779536265 + 0.*I, 2.5007995674286576*^-9 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 2.360334150353083*^-11 + 0.*I, 3.839575707766634*^-11 + 0.*I, 1.2190248810384219*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.00039931433859496934 + 0.*I, 0.9987925577360002 + 0.*I, 0.9987921449920113 + 0.*I, 0.00039968711620375075 + 0.*I, 3.99720034849338*^-8 + 0.*I, 3.6193270602780107*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 3.980149543281186*^-10 + 0.*I, 6.135990261905238*^-10 + 0.*I, 2.1160850849355486*^-10 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I}
{0.000896551171614135 + 0.*I, 0.9973078090516064 + 0.*I, 0.9973057221976057 + 0.*I, 0.0008984358477848177 + 0.*I, 2.0216761598135238*^-7 + 0.*I, 2.260414078136819*^-11 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 2.0200063843844873*^-9 + 0.*I, 3.103803065258967*^-9 + 0.*I, 1.0771827874123119*^-9 + 0.*I, 2.2204460492503135*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I}
{0.001589136540602887 + 0.*I, 0.9952360864747879 + 0.*I, 0.9952295027700009 + 0.*I, 0.0015950820104082553 + 0.*I, 6.381302153357639*^-7 + 0.*I, 1.1559642132397131*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 2.2204460492503135*^-12 + 0.*I, 4.796163466380677*^-12 + 0.*I, 6.380984629572595*^-9 + 0.*I, 9.799402869021118*^-9 + 0.*I, 3.405387083432743*^-9 + 0.*I, 1.998401444325282*^-13 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I}
{0.0024735507873963063 + 0.*I, 0.9925842704743949 + 0.*I, 0.9925682338882025 + 0.*I, 0.0024880315659947527 + 0.*I, 1.5553832000136938*^-6 + 0.*I, 4.3380854464203377*^-10 + 0.*I, 2.020605904817785*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 2.4402702081260944*^-11 + 0.*I, 1.55531809653553*^-8 + 0.*I, 2.389199975014189*^-8 + 0.*I, 8.30160384879264*^-9 + 0.*I, 5.2180482157382365*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I, 1.998401444325282*^-12 + 0.*I}
{0.0035453063085943985 + 0.*I, 0.9893611433364037 + 0.*I, 0.9893279831332037 + 0.*I, 0.003575246437614865 + 0.*I, 3.218796207349328*^-6 + 0.*I, 1.289990336772462*^-9 + 0.*I, 2.797762022055395*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 7.598366380534573*^-11 + 0.*I, 3.21799920044441*^-8 + 0.*I, 4.94620061922139*^-8 + 0.*I, 1.717699316117205*^-8 + 0.*I, 1.920685832601521*^-11 + 0.*I, 2.4202861936828413*^-12 + 0.*I, 2.3980817331903385*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I}
{0.004798975387809713 + 0.*I, 0.9855773418702086 + 0.*I, 0.9855161119263878 + 0.*I, 0.004854252958397254 + 0.*I, 5.949143599970342*^-6 + 0.*I, 3.2417846185239796*^-9 + 0.*I, 3.5971225997855076*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.4202861936828413*^-12 + 0.*I, 1.9479973190073*^-10 + 0.*I, 5.946039216553345*^-8 + 0.*I, 9.145759861245441*^-8 + 0.*I, 3.173981077964073*^-8 + 0.*I, 5.1803006329009804*^-11 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I}
{0.006228223739412897 + 0.*I, 0.981245300400402 + 0.*I, 0.9811412434906019 + 0.*I, 0.006322152093218848 + 0.*I, 0.000010121363613890821 + 0.*I, 7.200617879732364*^-9 + 0.*I, 4.9960036108132044*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.2204460492503135*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 4.365841022035966*^-10 + 0.*I, 1.0112739534662297*^-7 + 0.*I, 1.5567500327023925*^-7 + 0.*I, 5.3982396330809486*^-8 + 0.*I, 1.1879386363489175*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.2204460492503135*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I, 2.19824158875781*^-12 + 0.*I}
{0.007825849501985616 + 0.*I, 0.9763791845091963 + 0.*I, 0.9762132255762169 + 0.*I, 0.007975631361412105 + 0.*I, 0.000016162525207086276 + 0.*I, 1.4550405325053363*^-8 + 0.*I, 9.192646643896296*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 8.86402062860725*^-10 + 0.*I, 1.6142260861329305*^-7 + 0.*I, 2.4873140665182547*^-7 + 0.*I, 8.616960478491366*^-8 + 0.*I, 2.4358293160275934*^-10 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 1.7985612998927538*^-12 + 0.*I, 2.020605904817785*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I, 1.8207657603852567*^-12 + 0.*I}
{0.00958382736400143 + 0.*I, 0.970994816069598 + 0.*I, 0.9707430882415882 + 0.*I, 0.00981097838639311 + 0.*I, 0.00002454951699704111 + 0.*I, 2.728519632455573*^-8 + 0.*I, 1.978417429882029*^-11 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.797762022055395*^-12 + 0.*I, 2.797762022055395*^-12 + 0.*I, 9.99200722162641*^-13 + 0.*I, 1.6654011503192123*^-9 + 0.*I, 2.450726066527409*^-7 + 0.*I, 3.7803440169903446*^-7 + 0.*I, 1.3082339656023126*^-7 + 0.*I, 4.5781156643442965*^-10 + 0.*I, 1.998401444325282*^-12 + 0.*I, 2.797762022055395*^-12 + 0.*I, 2.797762022055395*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I, 2.5979218776228663*^-12 + 0.*I}
