{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.00009995740359869387 + 0.*I, 0.9996853094401957 + 0.*I, 0.9996852843975834 + 0.*I, 0.00009997994601107506 + 0.*I, 2.499200846273198*^-9 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 6.59472476627343*^-12 + 0.*I, 3.1987219253296685*^-12 + 0.*I, 2.997602166487923*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.00039933884781184764 + 0.*I, 0.9987921891606079 + 0.*I, 0.9987917887790132 + 0.*I, 0.0003996992566035473 + 0.*I, 3.9972802845511524*^-8 + 0.*I, 2.19824158875781*^-12 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 1.0360601265801961*^-10 + 0.*I, 5.220134222449318*^-11 + 0.*I, 5.2402526762307395*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
{0.0008966749955874321 + 0.*I, 0.9973068225272107 + 0.*I, 0.9973047980962046 + 0.*I, 0.0008984972200032361 + 0.*I, 2.0219119711839542*^-7 + 0.*I, 2.1405099914773018*^-11 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.25002263884744*^-10 + 0.*I, 2.6339464469077566*^-10 + 0.*I, 2.6421087540029475*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I, 1.1990408665951693*^-12 + 0.*I}
{0.001589526784018247 + 0.*I, 0.9952339428328072 + 0.*I, 0.9952275556790015 + 0.*I, 0.0015952755559878187 + 0.*I, 6.38268593533553*^-7 + 0.*I, 1.1339817973521349*^-10 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 2.797762022055395*^-12 + 0.*I, 1.6605827823923391*^-9 + 0.*I, 8.318006873566648*^-10 + 0.*I, 8.302025733541996*^-10 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.002474500087412679 + 0.*I, 0.9925801419113922 + 0.*I, 0.992564582881994 + 0.*I, 0.0024885027687826526 + 0.*I, 1.555915396522778*^-6 + 0.*I, 4.3218761902608094*^-10 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 1.0791367799356522*^-11 + 0.*I, 4.046607493535249*^-9 + 0.*I, 2.0285997708036244*^-9 + 0.*I, 2.0234036668398407*^-9 + 0.*I, 5.195843755245733*^-12 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.0035472660984137154 + 0.*I, 0.9893538357024112 + 0.*I, 0.9893216599434097 + 0.*I, 0.0035762201826106126 + 0.*I, 3.2203852029510927*^-6 + 0.*I, 1.2883916156170019*^-9 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 3.2196467714129546*^-11 + 0.*I, 8.37159230826501*^-9 + 0.*I, 4.20039775531123*^-9 + 0.*I, 4.187006297229345*^-9 + 0.*I, 1.538769112130467*^-11 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I}
{0.004802587240204659 + 0.*I, 0.9855652204374011 + 0.*I, 0.9855058016352114 + 0.*I, 0.004856049657009366 + 0.*I, 5.9531443996618805*^-6 + 0.*I, 3.242806023706635*^-9 + 0.*I, 1.3988810110276974*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 8.000267115448879*^-11 + 0.*I, 1.5465606573172866*^-8 + 0.*I, 7.768592887039608*^-9 + 0.*I, 7.73938690912246*^-9 + 0.*I, 3.9812597663058114*^-11 + 0.*I, 5.995204332975846*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.006234348431410907 + 0.*I, 0.9812262198032052 + 0.*I, 0.9811252278614014 + 0.*I, 0.006325202910195672 + 0.*I, 0.000010130253191853457 + 0.*I, 7.206990559893712*^-9 + 0.*I, 2.797762022055395*^-12 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.998401444325282*^-13 + 0.*I, 1.7918999617450032*^-10 + 0.*I, 2.6300406297252718*^-8 + 0.*I, 1.3226398795640512*^-8 + 0.*I, 1.3166001622266776*^-8 + 0.*I, 8.759659664292485*^-11 + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 1.998401444325282*^-13 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.007835593436600341 + 0.*I, 0.976350423490402 + 0.*I, 0.9761893294444103 + 0.*I, 0.00798049241699239 + 0.*I, 0.000016180485218342255 + 0.*I, 1.4570011863668245*^-8 + 0.*I, 6.616929226765934*^-12 + 0.*I, 5.995204332975846*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 1.5987211554602256*^-12 + 0.*I, 3.633982004203063*^-10 + 0.*I, 4.197620029344762*^-8 + 0.*I, 2.1138600939107936*^-8 + 0.*I, 2.1022406038184727*^-8 + 0.*I, 1.7619239400801237*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 7.993605777301128*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I, 5.995204332975846*^-13 + 0.*I}
{0.009598566045210255 + 0.*I, 0.9709530176200021 + 0.*I, 0.9707086293388123 + 0.*I, 0.00981834379298885 + 0.*I, 0.000024583180802117965 + 0.*I, 2.733300252799609*^-8 + 0.*I, 1.658673198789984*^-11 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 2.4202861936828413*^-12 + 0.*I, 6.818101638828011*^-10 + 0.*I, 6.371820848727339*^-8 + 0.*I, 3.2137790692555994*^-8 + 0.*I, 3.192961450793064*^-8 + 0.*I, 3.3200109328390686*^-10 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I, 3.996802888650564*^-13 + 0.*I}
