{0. + 0.*I, 1. + 0.*I, 1. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{2.9976021664879227*^-15 + 0.*I, 0.9995993602008999 + 0.*I, 0.9995992531784318 + 0.*I, 2.139305709247807*^-7 + 0.*I, 2.1393066207409106*^-7 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 0. + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I}
{5.995204332975845*^-15 + 0.*I, 0.9984009621667809 + 0.*I, 0.9983992566398739 + 0.*I, 3.403772792953674*^-6 + 0.*I, 3.4037960019439595*^-6 + 0.*I, 5.899725152858082*^-13 + 0.*I, 5.889733145636454*^-13 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 0. + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I}
{7.993605777301126*^-15 + 0.*I, 0.9936439555968939 + 0.*I, 0.9936169647484449 + 0.*I, 0.00005352209199194213 + 0.*I, 0.00005352785802203996 + 0.*I, 1.462989729361652*^-10 + 0.*I, 1.4629797373544307*^-10 + 0.*I, 8.992806499463768*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 0. + 0.*I, 9.992007221626409*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I}
{1.199040866595169*^-14 + 0.*I, 0.990103297033223 + 0.*I, 0.9900377797236519 + 0.*I, 0.0001292930359140243 + 0.*I, 0.00012932680566601904 + 0.*I, 8.639789994546731*^-10 + 0.*I, 8.63978000253951*^-10 + 0.*I, 1.298960938811433*^-14 + 0.*I, 1.199040866595169*^-14 + 0.*I, 9.992007221626409*^-15 + 0.*I, 0. + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.199040866595169*^-14 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.0991207943789048*^-14 + 0.*I}
{1.0991207943789048*^-14 + 0.*I, 0.9858101606406768 + 0.*I, 0.9856752684012449 + 0.*I, 0.0002646273116599928 + 0.*I, 0.0002647694018780289 + 0.*I, 3.6729499441889853*^-9 + 0.*I, 3.6729479457875414*^-9 + 0.*I, 1.8984813721090174*^-14 + 0.*I, 1.8984813721090174*^-14 + 0.*I, 8.992806499463768*^-15 + 0.*I, 0. + 0.*I, 1.0991207943789048*^-14 + 0.*I, 7.993605777301126*^-15 + 0.*I, 1.0991207943789048*^-14 + 0.*I, 1.199040866595169*^-14 + 0.*I}
{7.993605777301126*^-15 + 0.*I, 0.9807848435994249 + 0.*I, 0.9805370413960589 + 0.*I, 0.00048272877609989434 + 0.*I, 0.00048320407831692336 + 0.*I, 1.2438372998246903*^-8 + 0.*I, 1.2438372998246903*^-8 + 0.*I, 6.994405055138486*^-14 + 0.*I, 6.894484982922222*^-14 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 0. + 0.*I, 4.9960036108132044*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{2.9976021664879227*^-15 + 0.*I, 0.9750509572594699 + 0.*I, 0.974632315431518 + 0.*I, 0.000808923971148956 + 0.*I, 0.0008102667361700177 + 0.*I, 3.5647021001672385*^-8 + 0.*I, 3.56470170048695*^-8 + 0.*I, 3.0597746558669314*^-13 + 0.*I, 3.019806626980426*^-13 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 0. + 0.*I, 9.992007221626409*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 8.104628079763641*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{9.992007221626407*^-16 + 0.*I, 0.9750448774095178 + 0.*I, 0.9746260305684059 + 0.*I, 0.0008093130716820828 + 0.*I, 0.0008106571374310034 + 0.*I, 3.56820890612397*^-8 + 0.*I, 3.56820889502174*^-8 + 0.*I, 3.039790641423678*^-13 + 0.*I, 3.0109248427834245*^-13 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 0. + 0.*I, 9.992007221626407*^-16 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I}
{5.995204332975845*^-15 + 0.*I, 0.9686217423405888 + 0.*I, 0.967957924884755 + 0.*I, 0.001270818653146932 + 0.*I, 0.0012741554737379923 + 0.*I, 9.005547396689904*^-8 + 0.*I, 9.005547096929689*^-8 + 0.*I, 1.2180256803162592*^-12 + 0.*I, 1.2170264795940966*^-12 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 0. + 0.*I, 1.2101430968414205*^-14 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I}
{2.9976021664879227*^-15 + 0.*I, 0.9615525584160639 + 0.*I, 0.960553201080539 + 0.*I, 0.0018933835309139502 + 0.*I, 0.0019008475554140865 + 0.*I, 2.0522225796515412*^-7 + 0.*I, 2.0522225407937356*^-7 + 0.*I, 4.210076731681056*^-12 + 0.*I, 4.196976099990479*^-12 + 0.*I, 3.996802888650563*^-15 + 0.*I, 0. + 0.*I, 5.995204332975845*^-15 + 0.*I, 6.106226635438361*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I}
