{1.1044263947823652*^-6 + 0.*I, 0.9995855109061981 + 0.*I, 0.9995860399580004 + 0.*I, 1.9120797833949155*^-6 + 0.*I, 4.1134959882782596*^-7 + 0.*I, 2.361835838016191*^-7 + 0.*I, 1.6160379701091188*^-7 + 0.*I, 1.2018039896588562*^-7 + 0.*I, 9.392560063048451*^-8 + 0.*I, 7.58528129196634*^-8 + 0.*I, 6.266880347993721*^-8 + 0.*I, 5.261440172432686*^-8 + 0.*I, 4.466078618037273*^-8 + 0.*I, 3.815798788053826*^-8 + 0.*I, 3.265958614662168*^-8 + 0.*I, 2.781361807535632*^-8 + 0.*I, 2.3220803058165987*^-8 + 0.*I, 1.0466805200337603*^-8 + 0.*I}
{0.000017423065790111995 + 0.*I, 0.9984057521699896 + 0.*I, 0.9984139293447937 + 0.*I, 0.00002985582199244163 + 0.*I, 6.255575590863316*^-6 + 0.*I, 3.5630248085283256*^-6 + 0.*I, 2.425896417079798*^-6 + 0.*I, 1.798062809754697*^-6 + 0.*I, 1.4022474070785054*^-6 + 0.*I, 1.1311626080257044*^-6 + 0.*I, 9.343771978365113*^-7 + 0.*I, 7.850329941661016*^-7 + 0.*I, 6.674623964642025*^-7 + 0.*I, 5.717973872165771*^-7 + 0.*I, 4.912835915860114*^-7 + 0.*I, 4.2061700789020056*^-7 + 0.*I, 3.53836582256406*^-7 + 0.*I, 1.6031780347702806*^-7 + 0.*I}
{0.00008613985118532952 + 0.*I, 0.9964837881499878 + 0.*I, 0.9965228415266036 + 0.*I, 0.00014511507759884523 + 0.*I, 0.000029062699402615525 + 0.*I, 0.000016327057217324636 + 0.*I, 0.000011022598411791764 + 0.*I, 8.123353190114813*^-6 + 0.*I, 6.31202838885514*^-6 + 0.*I, 5.082126985911373*^-6 + 0.*I, 4.1968216013543724*^-6 + 0.*I, 3.530593195577581*^-6 + 0.*I, 3.0105671955382722*^-6 + 0.*I, 2.591082592928729*^-6 + 0.*I, 2.2410918010251635*^-6 + 0.*I, 1.9364394088228214*^-6 + 0.*I, 1.6504469790845633*^-6 + 0.*I, 7.54599782659682*^-7 + 0.*I}
{0.0002634134148138401 + 0.*I, 0.993879888209004 + 0.*I, 0.9939935365067988 + 0.*I, 0.00043339700501743295 + 0.*I, 0.00008126883799253193 + 0.*I, 0.00004474338819449031 + 0.*I, 0.000029834301806808128 + 0.*I, 0.000021803512817442087 + 0.*I, 0.00001685140300633492 + 0.*I, 0.000013530579390241826 + 0.*I, 0.000011169560387713773 + 0.*I, 9.415050183925189*^-6 + 0.*I, 8.063432610505572*^-6 + 0.*I, 6.9881811892713586*^-6 + 0.*I, 6.104202388002023*^-6 + 0.*I, 5.3464215943321855*^-6 + 0.*I, 4.645145801340789*^-6 + 0.*I, 2.1518146153809425*^-6 + 0.*I}
{0.0006166250495986959 + 0.*I, 0.99066692813099 + 0.*I, 0.9909160228059877 + 0.*I, 0.0009845792795948327 + 0.*I, 0.0001688309160030599 + 0.*I, 0.00009040687038996964 + 0.*I, 0.000059260966600582776 + 0.*I, 0.00004281028278541044 + 0.*I, 0.00003284317620089183 + 0.*I, 0.000026271471798011703 + 0.*I, 0.00002167809678432775 + 0.*I, 0.000018325145600961434 + 0.*I, 0.000015791882379545544 + 0.*I, 0.00001382017260631585 + 0.*I, 0.000012239504387778767 + 0.*I, 0.00001092341919139983 + 0.*I, 9.744266193933981*^-6 + 0.*I, 4.594152192005652*^-6 + 0.*I}
{0.0012152301018142353 + 0.*I, 0.9869210294741969 + 0.*I, 0.9873724488367819 + 0.*I, 0.001871831638400323 + 0.*I, 0.0002854062043811112 + 0.*I, 0.00014723845220832035 + 0.*I, 0.00009431285339367435 + 0.*I, 0.00006706579001036772 + 0.*I, 0.000050933791784224525 + 0.*I, 0.000040532971801177105 + 0.*I, 0.0000334291857972957 + 0.*I, 0.000028372934202103298 + 0.*I, 0.000024662691400223483 + 0.*I, 0.00002187634358108426 + 0.*I, 0.000019743369406022282 + 0.*I, 0.00001807442360224343 + 0.*I, 0.00001670188618518864 + 0.*I, 8.056618794327619*^-6 + 0.*I}
{0.002121458194581649 + 0.*I, 0.9827120483427932 + 0.*I, 0.98342192263281 + 0.*I, 0.0031350095224036423 + 0.*I, 0.00041058685600336986 + 0.*I, 0.00020143712740061662 + 0.*I, 0.00012502882318354838 + 0.*I, 0.00008698291680264704 + 0.*I, 0.00006512887420484503 + 0.*I, 0.00005145399339934188 + 0.*I, 0.00004240714019942971 + 0.*I, 0.0000362011403964857 + 0.*I, 0.00003185478760769911 + 0.*I, 0.000028795524809055454 + 0.*I, 0.000026675717790247685 + 0.*I, 0.000025280563598073517 + 0.*I, 0.000024484663807555762 + 0.*I, 0.000012161797191545533 + 0.*I}
{0.003382014453401361 + 0.*I, 0.978095099694798 + 0.*I, 0.9790900815777936 + 0.*I, 0.004771984009388497 + 0.*I, 0.0005133786817879128 + 0.*I, 0.00023488805240834412 + 0.*I, 0.0001393745969968663 + 0.*I, 0.00009388462580695035 + 0.*I, 0.00006880616600923872 + 0.*I, 0.00005375511720195903 + 0.*I, 0.000044253079800604673 + 0.*I, 0.00003810846540552859 + 0.*I, 0.000034157985417948566 + 0.*I, 0.00003175714859970924 + 0.*I, 0.00003055531498930009 + 0.*I, 0.000030402589179523435 + 0.*I, 0.0000313881961977458 + 0.*I, 0.000016189029805602217 + 0.*I}
{0.00502173871659295 + 0.*I, 0.9731041049871936 + 0.*I, 0.9743652481748022 + 0.*I, 0.006739618575202223 + 0.*I, 0.0005603904773998637 + 0.*I, 0.00023115096519088496 + 0.*I, 0.000127741764388567 + 0.*I, 0.00008150508639115374 + 0.*I, 0.000057513739992742785 + 0.*I, 0.00004401903699324806 + 0.*I, 0.000036147994597612865 + 0.*I, 0.000031614545203950684 + 0.*I, 0.000029271064794222926 + 0.*I, 0.000028542921981511427 + 0.*I, 0.00002919849999560853 + 0.*I, 0.00003129384080757802 + 0.*I, 0.0000354003460101282 + 0.*I, 0.000019187079791649356 + 0.*I}
{0.007039949052400907 + 0.*I, 0.9677481136024013 + 0.*I, 0.969201808686404 + 0.*I, 0.00896392085378839 + 0.*I, 0.0005265696175982271 + 0.*I, 0.0001820800224150432 + 0.*I, 0.00008742809920470053 + 0.*I, 0.00004923772720655251 + 0.*I, 0.00003145225719869416 + 0.*I, 0.000022672340005414068 + 0.*I, 0.000018454106620602317 + 0.*I, 0.00001685966259934446 + 0.*I, 0.000017019209597179952 + 0.*I, 0.0000186030833848605 + 0.*I, 0.00002164163741547043 + 0.*I, 0.000026561490584775527 + 0.*I, 0.00003474535539282897 + 0.*I, 0.00002017992060121543 + 0.*I}
{0.009409944044991292 + 0.*I, 0.9620108849876019 + 0.*I, 0.963530200432805 + 0.*I, 0.011356904094217413 + 0.*I, 0.00040524681399478624 + 0.*I, 0.00009266722660328242 + 0.*I, 0.000025296488415094135 + 0.*I, 3.7351525872253437*^-6 + 0.*I, 3.4698453887926917*^-6 + 0.*I, 5.236612210524073*^-6 + 0.*I, 4.634801609171291*^-6 + 0.*I, 2.785977382124827*^-6 + 0.*I, 2.9264812795304355*^-8 + 0.*I, 3.702659401305653*^-6 + 0.*I, 8.81616879500058*^-6 + 0.*I, 0.00001624272241151914 + 0.*I, 0.00002848318019221808 + 0.*I, 0.000018432117410149832 + 0.*I}
{0.012081833315402692 + 0.*I, 0.955853897603598 + 0.*I, 0.9572717134360033 + 0.*I, 0.013836228673391739 + 0.*I, 0.00021408095938202362 + 0.*I, 0.000017957516806887952 + 0.*I, 0.00004272712019748326 + 0.*I, 0.00004207422221735868 + 0.*I, 0.00003670706818503788 + 0.*I, 0.00003102079120242962 + 0.*I, 0.00002590498942023345 + 0.*I, 0.000021320402998625813 + 0.*I, 0.000016926869994549065 + 0.*I, 0.00001220035141802356 + 0.*I, 6.33483459022699*^-6 + 0.*I, 2.1377418057966224*^-6 + 0.*I, 0.000016990211593181925 + 0.*I, 0.000013713891400257694 + 0.*I}
{0.014988477265998059 + 0.*I, 0.9492225422593982 + 0.*I, 0.9503553529442099 + 0.*I, 0.01634305064859287 + 0.*I, 5.6269220172211484*^-6 + 0.*I, 0.0001203329824006616 + 0.*I, 0.00009564822400776052 + 0.*I, 0.0000726173728038404 + 0.*I, 0.00005623327539172607 + 0.*I, 0.000045035851203856225 + 0.*I, 0.00003735574261032327 + 0.*I, 0.00003192145161534654 + 0.*I, 0.00002775528580301057 + 0.*I, 0.00002396732179388295 + 0.*I, 0.00001947103238642001 + 0.*I, 0.000012401493387770303 + 0.*I, 2.1366389990618018*^-6 + 0.*I, 6.4856263914947485*^-6 + 0.*I}
{0.01805386298840972 + 0.*I, 0.9420547832985904 + 0.*I, 0.9427334780497844 + 0.*I, 0.018853893181813852 + 0.*I, 0.00019698120219402426 + 0.*I, 0.00018265755399315967 + 0.*I, 0.00011395387820023474 + 0.*I, 0.00007499057981252832 + 0.*I, 0.00005289049458401252 + 0.*I, 0.00004028002378309026 + 0.*I, 0.00003320690860064701 + 0.*I, 0.000029466646389586515 + 0.*I, 0.000027717919404146585 + 0.*I, 0.000026965707200510284 + 0.*I, 0.000026121812002344313 + 0.*I, 0.000023271341809127932 + 0.*I, 0.000012967866780400072 + 0.*I, 2.0763646135790736*^-6 + 0.*I}
{0.021202810164000496 + 0.*I, 0.934291121842612 + 0.*I, 0.934393031801184 + 0.*I, 0.02138379214380315 + 0.*I, 0.0003013634342075022 + 0.*I, 0.0001807707626033661 + 0.*I, 0.00008667947000162712 + 0.*I, 0.00004416476100388422 + 0.*I, 0.000024382561014668624 + 0.*I, 0.00001559037758891435 + 0.*I, 0.00001256610140387693 + 0.*I, 0.000012840311192086064 + 0.*I, 0.000015181790380403017 + 0.*I, 0.00001887913481102288 + 0.*I, 0.000023240449187333926 + 0.*I, 0.000026827627208625415 + 0.*I, 0.0000246608077958399 + 0.*I, 0.000010256287619192507 + 0.*I}
{0.024370612686008822 + 0.*I, 0.9258844014162049 + 0.*I, 0.9253599948136015 + 0.*I, 0.023980158832404008 + 0.*I, 0.0002745610416132749 + 0.*I, 0.00010695118359826951 + 0.*I, 0.000016464217011957775 + 0.*I, 0.000013960375611077325 + 0.*I, 0.00002276568720205319 + 0.*I, 0.000022967416790642403 + 0.*I, 0.000019432587383683142 + 0.*I, 0.000013986371794061368 + 0.*I, 7.193676987427011*^-6 + 0.*I, 9.255057831225599*^-7 + 0.*I, 0.000010487484014554127 + 0.*I, 0.000021131451788392045 + 0.*I, 0.00002968693380012155 + 0.*I, 0.000016159260995962654 + 0.*I}
{0.02751118299300082 + 0.*I, 0.9168079653781914 + 0.*I, 0.9156960992114049 + 0.*I, 0.026709168751581913 + 0.*I, 0.00010051925998233459 + 0.*I, 0.00002559341238939084 + 0.*I, 0.00007952117320186859 + 0.*I, 0.00008315602999520168 + 0.*I, 0.00007439623639360349 + 0.*I, 0.00006338604918720847 + 0.*I, 0.000052747691792198736 + 0.*I, 0.000042756383789033237 + 0.*I, 0.00003285509460049241 + 0.*I, 0.00002209981739831335 + 0.*I, 9.292428604368297*^-6 + 0.*I, 6.78239699958283*^-6 + 0.*I, 0.000026151374798999427 + 0.*I, 0.000018171889015761167 + 0.*I}
