{0. + 0.*I, 1. + 0.*I, 1. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.00009999024519402598 + 0.*I, 0.9997000252487719 + 0.*I, 0.9997000256349788 + 0.*I, 0.0000999873591529532 + 0.*I, 2.4997980352381433*^-9 + 0.*I, 2.597921877622866*^-14 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.1401990462900355*^-13 + 0.*I, 1.8997958426960596*^-13 + 0.*I, 7.904787935331113*^-14 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 3.497202527569243*^-14 + 0.*I, 7.802434208896128*^-14 + 0.*I, 3.796962744218035*^-14 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 9.992007221626407*^-16 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I}
{0.00039984394201297846 + 0.*I, 0.9988004039316708 + 0.*I, 0.9988004101083339 + 0.*I, 0.00039979777637699776 + 0.*I, 3.998718500763942*^-8 + 0.*I, 1.7740253710485374*^-12 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 1.7960077869361155*^-12 + 0.*I, 3.033009119478944*^-12 + 0.*I, 1.241007296926*^-12 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 5.98965321785272*^-13 + 0.*I, 1.2450020398322269*^-12 + 0.*I, 6.400435736964026*^-13 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I}
{0.00089921011627192 + 0.*I, 0.9973020444934289 + 0.*I, 0.9973020757402419 + 0.*I, 0.0008989764951230494 + 0.*I, 2.023540769391374*^-7 + 0.*I, 2.0235035869120566*^-11 + 0.*I, 3.996802888650563*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I, 9.07407482486633*^-12 + 0.*I, 1.5345973406975384*^-11 + 0.*I, 6.272982133737059*^-12 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.0400126860286032*^-12 + 0.*I, 6.2970370021858755*^-12 + 0.*I, 3.2459590570965698*^-12 + 0.*I, 3.108624468950438*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I}
{0.0015975042843849872 + 0.*I, 0.9952064597923609 + 0.*I, 0.9952065584479859 + 0.*I, 0.0015967663347340455 + 0.*I, 6.391803359928615*^-7 + 0.*I, 1.1366896313091955*^-10 + 0.*I, 8.992806499463768*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 2.9976021664879227*^-14 + 0.*I, 2.8625990466935033*^-11 + 0.*I, 4.8449011295915924*^-11 + 0.*I, 1.9787060878684315*^-11 + 0.*I, 1.4988010832439613*^-14 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 9.603984274519917*^-12 + 0.*I, 1.9880992902303228*^-11 + 0.*I, 1.0256018256882271*^-11 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 1.9984014443252814*^-15 + 0.*I}
{0.002493909162836982 + 0.*I, 0.9925157652777619 + 0.*I, 0.992516005823361 + 0.*I, 0.0024921088095520845 + 0.*I, 1.5593742170860736*^-6 + 0.*I, 4.333829961566948*^-10 + 0.*I, 6.505906924303416*^-14 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 1.0802470029602772*^-13 + 0.*I, 6.9759975573902*^-11 + 0.*I, 1.1812403312439392*^-10 + 0.*I, 4.821698595947055*^-11 + 0.*I, 5.406786129924512*^-14 + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 3.996802888650563*^-15 + 0.*I, 2.398081733190338*^-14 + 0.*I, 2.3406054872054938*^-11 + 0.*I, 4.847000318469747*^-11 + 0.*I, 2.4996005265620624*^-11 + 0.*I, 2.9087843245179095*^-14 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I}
{0.003587375660057068 + 0.*I, 0.9892326764417129 + 0.*I, 0.989233174444892 + 0.*I, 0.003583645693268966 + 0.*I, 3.230670047038586*^-6 + 0.*I, 1.2932359627626509*^-9 + 0.*I, 2.8399504969911504*^-13 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 3.189670749748074*^-13 + 0.*I, 1.443321018257393*^-10 + 0.*I, 2.445399720392443*^-10 + 0.*I, 9.976008907841559*^-11 + 0.*I, 1.5498713423767185*^-13 + 0.*I, 7.105427357601002*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 7.804867863114849*^-14 + 0.*I, 4.8428039356451784*^-11 + 0.*I, 1.0034097858158334*^-10 + 0.*I, 5.171896244604568*^-11 + 0.*I, 9.003908729710018*^-14 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I}
{0.004876624149485974 + 0.*I, 0.985360505548768 + 0.*I, 0.985361426428648 + 0.*I, 0.004869721025983043 + 0.*I, 5.978984023990996*^-6 + 0.*I, 3.2585619758052076*^-9 + 0.*I, 9.909850717804145*^-13 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 8.992806499463768*^-15 + 0.*I, 7.94919685631612*^-13 + 0.*I, 2.66686006611394*^-10 + 0.*I, 4.5215998827063963*^-10 + 0.*I, 1.8432799731016303*^-10 + 0.*I, 3.8202774277351637*^-13 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 2.050581926482664*^-13 + 0.*I, 8.948997098912059*^-11 + 0.*I, 1.8553201683313505*^-10 + 0.*I, 9.556899716045564*^-11 + 0.*I, 2.360334150353083*^-13 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{0.006360146022089008 + 0.*I, 0.980903157647975 + 0.*I, 0.980904725222597 + 0.*I, 0.006348383560842995 + 0.*I, 0.00001018762942606166 + 0.*I, 7.2542559736987755*^-9 + 0.*I, 2.8960167597347204*^-12 + 0.*I, 5.995204332975845*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 9.992007221626409*^-15 + 0.*I, 1.7590373602160978*^-12 + 0.*I, 4.5356896016812693*^-10 + 0.*I, 7.696370103726924*^-10 + 0.*I, 3.1349700613247933*^-10 + 0.*I, 8.40105762733856*^-13 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 4.669598041573408*^-13 + 0.*I, 1.5221102156459662*^-10 + 0.*I, 3.1579502814821483*^-10 + 0.*I, 1.6255097268214056*^-10 + 0.*I, 5.350164755668629*^-13 + 0.*I, 7.993605777301126*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I}
{0.008036205516265047 + 0.*I, 0.9758651258726547 + 0.*I, 0.9758676306505168 + 0.*I, 0.008017389646443938 + 0.*I, 0.00001629639279299155 + 0.*I, 1.4691679983691584*^-8 + 0.*I, 7.436051774334372*^-12 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 1.298960938811433*^-14 + 0.*I, 3.5520475449857254*^-12 + 0.*I, 7.240279487064071*^-10 + 0.*I, 1.2296770129927026*^-9 + 0.*I, 5.004290315469006*^-10 + 0.*I, 1.6909806888065757*^-12 + 0.*I, 9.992007221626409*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 9.530154443382344*^-13 + 0.*I, 2.4298296708025186*^-10 + 0.*I, 5.045490344968162*^-10 + 0.*I, 2.594899850549836*^-10 + 0.*I, 1.089905943274516*^-12 + 0.*I, 6.9944050551384854*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I, 7.993605777301126*^-15 + 0.*I}
{0.009902841822729047 + 0.*I, 0.9702514860342629 + 0.*I, 0.970255293212426 + 0.*I, 0.009874206540462891 + 0.*I, 0.0000248004728520268 + 0.*I, 2.7613936026682495*^-8 + 0.*I, 1.7273960040142807*^-11 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 6.106226635438361*^-15 + 0.*I, 1.8984813721090174*^-14 + 0.*I, 6.662004281565714*^-12 + 0.*I, 1.0992809995613582*^-9 + 0.*I, 1.868896018844546*^-9 + 0.*I, 7.597910078871449*^-10 + 0.*I, 3.1670222000457215*^-12 + 0.*I, 9.992007221626409*^-15 + 0.*I, 6.106226635438361*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 6.106226635438361*^-15 + 0.*I, 2.9976021664879227*^-15 + 0.*I, 1.7980061883804408*^-12 + 0.*I, 3.689339944656922*^-10 + 0.*I, 7.668130297400215*^-10 + 0.*I, 3.93996058001278*^-10 + 0.*I, 2.0550228185811648*^-12 + 0.*I, 1.9984014443252814*^-15 + 0.*I, 5.107025913275719*^-15 + 0.*I, 5.995204332975845*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I, 4.9960036108132044*^-15 + 0.*I}
