{0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.}
{0.000399893345108, 0.000799783357818, 0.000399880015263, 9.997331*^-9, 1.08*^-13, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15}
{0.001598294086924, 0.00319653490022, 0.001598080976783, 1.59829407*^-7, 7.103*^-12, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15}
{0.003591368581221, 0.007182467842135, 0.003590291122166, 8.08057929*^-7, 8.082*^-11, 6.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 2.*^-15, 2.*^-15}
{0.006372741527378, 0.012744633537305, 0.006369342460018, 2.54909658*^-6, 4.53299*^-10, 5.*^-14, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15}
{0.00993351707668, 0.019864965361376, 0.009925238111186, 6.208447962*^-6, 1.725293*^-9, 2.75*^-13, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15}
{0.014262308281527, 0.028520339928267, 0.014245190431548, 0.000012836076535, 5.13752*^-9, 1.163*^-12, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 6.*^-15, 7.*^-15}
{0.019345274783499, 0.038682655420798, 0.019313669762133, 0.000023697958451, 1.2912774*^-8, 3.962*^-12, 6.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15, 5.*^-15}
{0.025166168609856, 0.05031892675553, 0.025112463609518, 0.000040265860605, 2.8664084*^-8, 1.1476*^-11, 6.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 3.*^-15, 2.*^-15, 3.*^-15, 3.*^-15}
{0.03170638791987, 0.063391397241525, 0.031620746017236, 0.000064205412107, 5.7863011*^-8, 2.9325*^-11, 1.8*^-14, 8.*^-15, 8.*^-15, 8.*^-15, 8.*^-15, 8.*^-15, 8.*^-15, 8.*^-15, 8.*^-15, 8.*^-15, 8.*^-15, 7.*^-15, 8.*^-15, 8.*^-15}
{0.038945038515001, 0.077857666334012, 0.038815156847849, 0.0000973625421, 1.08361261*^-7, 6.78*^-11, 3.4*^-14, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15, 7.*^-15}
